Interaction_ID,Date,Date_f,Hour,Agent_ID,Team,Product_Line,Call_Type,Handle_Time_Seconds,Hold_Time_Seconds,Call_Outcome,CSAT_Score,First_Call_Resolution,Handle_Time_Minutes,Day_of_Week,Week,Month,Expected AHT,,,,,,,,
16,45964,"Monday, November 3, 2025",9,E84687581,Team_Alpha,Card,Payment_Inquiry,108,41,Info_Provided,67,1,1.80,Monday,45,November,Exceeding Expectations,,,,,,,,
17,45964,"Monday, November 3, 2025",9,E84687581,Team_Alpha,Card,Payment_Inquiry,114,72,Payment_Collected,81,1,1.90,Monday,45,November,Exceeding Expectations,,,,,,,,
18,45964,"Monday, November 3, 2025",13,E84687581,Team_Alpha,Card,Promise_to_Pay,228,5,PTP_Made,93,1,3.80,Monday,45,November,Exceeding Expectations,,,,,,,,
19,45964,"Monday, November 3, 2025",8,E84687581,Team_Alpha,Card,Payment_Inquiry,144,74,Payment_Collected,58,1,2.40,Monday,45,November,Exceeding Expectations,,,,,,,,
20,45964,"Monday, November 3, 2025",10,E84687581,Team_Alpha,Card,Promise_to_Pay,237,11,PTP_Made,66,0,3.95,Monday,45,November,Exceeding Expectations,,,,,,,,
21,45964,"Monday, November 3, 2025",9,E84687581,Team_Alpha,Card,Promise_to_Pay,108,9,Payment_Collected,65,1,1.80,Monday,45,November,Exceeding Expectations,,,,,,,,
22,45964,"Monday, November 3, 2025",11,E84687581,Team_Alpha,Card,Promise_to_Pay,141,51,PTP_Made,63,0,2.35,Monday,45,November,Exceeding Expectations,,,,,,,,
23,45964,"Monday, November 3, 2025",12,E84687581,Team_Alpha,Card,Dispute,402,3,Callback_Scheduled,79,0,6.70,Monday,45,November,Not Meeting Expectations,,,,,,,,
24,45964,"Monday, November 3, 2025",11,E84687581,Team_Alpha,Card,Dispute,432,0,Resolved,67,1,7.20,Monday,45,November,Not Meeting Expectations,,,,,,,,
25,45964,"Monday, November 3, 2025",14,E84687581,Team_Alpha,Card,Payment_Inquiry,150,3,Payment_Collected,50,1,2.50,Monday,45,November,Exceeding Expectations,,,,,,,,
26,45964,"Monday, November 3, 2025",12,E84687581,Team_Alpha,Card,Dispute,358,4,Resolved,56,1,5.97,Monday,45,November,Not Meeting Expectations,,,,,,,,
27,45964,"Monday, November 3, 2025",11,E84687581,Team_Alpha,Card,Payment_Inquiry,109,7,Info_Provided,77,1,1.82,Monday,45,November,Exceeding Expectations,,,,,,,,
28,45964,"Monday, November 3, 2025",11,E84687581,Team_Alpha,Card,Dispute,320,20,Resolved,90,1,5.33,Monday,45,November,Meeting Expectations,,,,,,,,
29,45964,"Monday, November 3, 2025",9,E60024918,Team_Alpha,Card,Dispute,459,36,Resolved,88,1,7.65,Monday,45,November,Not Meeting Expectations,,,,,,,,
30,45964,"Monday, November 3, 2025",14,E60024918,Team_Alpha,Card,Hardship,513,3,Callback_Scheduled,79,1,8.55,Monday,45,November,Not Meeting Expectations,,,,,,,,
31,45964,"Monday, November 3, 2025",15,E60024918,Team_Alpha,Card,Dispute,384,21,Resolved,70,0,6.40,Monday,45,November,Not Meeting Expectations,,,,,,,,
32,45964,"Monday, November 3, 2025",8,E60024918,Team_Alpha,Card,Dispute,335,38,Escalated,68,0,5.58,Monday,45,November,Meeting Expectations,,,,,,,,
33,45964,"Monday, November 3, 2025",12,E60024918,Team_Alpha,Card,Dispute,554,15,Escalated,74,0,9.23,Monday,45,November,Not Meeting Expectations,,,,,,,,
34,45964,"Monday, November 3, 2025",15,E60024918,Team_Alpha,Card,Dispute,462,3,Resolved,69,1,7.70,Monday,45,November,Not Meeting Expectations,,,,,,,,
35,45964,"Monday, November 3, 2025",13,E60024918,Team_Alpha,Card,Payment_Inquiry,173,144,Payment_Collected,84,0,2.88,Monday,45,November,Exceeding Expectations,,,,,,,,
36,45964,"Monday, November 3, 2025",14,E60024918,Team_Alpha,Card,Payment_Inquiry,115,21,Info_Provided,100,0,1.92,Monday,45,November,Exceeding Expectations,,,,,,,,
37,45964,"Monday, November 3, 2025",9,E60024918,Team_Alpha,Card,Hardship,441,3,Resolved,75,0,7.35,Monday,45,November,Not Meeting Expectations,,,,,,,,
38,45964,"Monday, November 3, 2025",10,E60024918,Team_Alpha,Card,Promise_to_Pay,238,13,Payment_Collected,80,1,3.97,Monday,45,November,Exceeding Expectations,,,,,,,,
39,45964,"Monday, November 3, 2025",12,E60024918,Team_Alpha,Card,Promise_to_Pay,245,45,PTP_Made,84,1,4.08,Monday,45,November,Exceeding Expectations,,,,,,,,
40,45964,"Monday, November 3, 2025",11,E60024918,Team_Alpha,Card,Hardship,530,6,Callback_Scheduled,100,0,8.83,Monday,45,November,Not Meeting Expectations,,,,,,,,
41,45964,"Monday, November 3, 2025",14,E60024918,Team_Alpha,Card,Promise_to_Pay,302,74,Payment_Collected,82,1,5.03,Monday,45,November,Meeting Expectations,,,,,,,,
42,45964,"Monday, November 3, 2025",10,E60024918,Team_Alpha,Card,Payment_Inquiry,129,10,Transferred,78,0,2.15,Monday,45,November,Exceeding Expectations,,,,,,,,
43,45964,"Monday, November 3, 2025",8,E60024918,Team_Alpha,Card,Payment_Inquiry,144,1,Transferred,64,1,2.40,Monday,45,November,Exceeding Expectations,,,,,,,,
44,45964,"Monday, November 3, 2025",14,E60024918,Team_Alpha,Card,Promise_to_Pay,301,25,PTP_Made,77,0,5.02,Monday,45,November,Meeting Expectations,,,,,,,,
45,45964,"Monday, November 3, 2025",14,E60024918,Team_Alpha,Card,Promise_to_Pay,254,135,Payment_Collected,66,0,4.23,Monday,45,November,Meeting Expectations,,,,,,,,
46,45964,"Monday, November 3, 2025",12,E60024918,Team_Alpha,Card,Payment_Inquiry,183,31,Info_Provided,100,1,3.05,Monday,45,November,Exceeding Expectations,,,,,,,,
47,45964,"Monday, November 3, 2025",8,E60024918,Team_Alpha,Card,Payment_Inquiry,136,13,Payment_Collected,90,0,2.27,Monday,45,November,Exceeding Expectations,,,,,,,,
48,45964,"Monday, November 3, 2025",14,E60024918,Team_Alpha,Card,General_Inquiry,205,37,Resolved,84,0,3.42,Monday,45,November,Exceeding Expectations,,,,,,,,
49,45964,"Monday, November 3, 2025",9,E60024918,Team_Alpha,Card,General_Inquiry,141,22,Callback_Scheduled,81,1,2.35,Monday,45,November,Exceeding Expectations,,,,,,,,
50,45964,"Monday, November 3, 2025",15,E60024918,Team_Alpha,Card,Payment_Inquiry,194,12,Info_Provided,61,1,3.23,Monday,45,November,Exceeding Expectations,,,,,,,,
51,45964,"Monday, November 3, 2025",13,E60024918,Team_Alpha,Card,General_Inquiry,189,66,Resolved,79,1,3.15,Monday,45,November,Exceeding Expectations,,,,,,,,
52,45964,"Monday, November 3, 2025",15,E60024918,Team_Alpha,Card,Promise_to_Pay,242,40,No_Contact,85,0,4.03,Monday,45,November,Exceeding Expectations,,,,,,,,
53,45964,"Monday, November 3, 2025",9,E60024918,Team_Alpha,Card,Hardship,435,17,Escalated,70,1,7.25,Monday,45,November,Not Meeting Expectations,,,,,,,,
54,45964,"Monday, November 3, 2025",14,E60024918,Team_Alpha,Card,Promise_to_Pay,204,1,PTP_Made,66,1,3.40,Monday,45,November,Exceeding Expectations,,,,,,,,
55,45964,"Monday, November 3, 2025",15,E60024918,Team_Alpha,Card,Dispute,511,23,Escalated,80,1,8.52,Monday,45,November,Not Meeting Expectations,,,,,,,,
56,45964,"Monday, November 3, 2025",15,E60024918,Team_Alpha,Card,Dispute,423,5,Resolved,94,0,7.05,Monday,45,November,Not Meeting Expectations,,,,,,,,
57,45964,"Monday, November 3, 2025",16,E60024918,Team_Alpha,Card,Hardship,519,25,Escalated,89,0,8.65,Monday,45,November,Not Meeting Expectations,,,,,,,,
58,45964,"Monday, November 3, 2025",13,E80869490,Team_Alpha,Card,Hardship,455,10,Escalated,67,1,7.58,Monday,45,November,Not Meeting Expectations,,,,,,,,
59,45964,"Monday, November 3, 2025",11,E80869490,Team_Alpha,Card,Promise_to_Pay,234,28,Payment_Collected,72,1,3.90,Monday,45,November,Exceeding Expectations,,,,,,,,
60,45964,"Monday, November 3, 2025",14,E80869490,Team_Alpha,Card,Payment_Inquiry,160,40,Payment_Collected,84,0,2.67,Monday,45,November,Exceeding Expectations,,,,,,,,
61,45964,"Monday, November 3, 2025",12,E80869490,Team_Alpha,Card,Hardship,452,9,Resolved,61,0,7.53,Monday,45,November,Not Meeting Expectations,,,,,,,,
62,45964,"Monday, November 3, 2025",12,E80869490,Team_Alpha,Card,Hardship,484,67,Resolved,73,1,8.07,Monday,45,November,Not Meeting Expectations,,,,,,,,
63,45964,"Monday, November 3, 2025",11,E80869490,Team_Alpha,Card,Payment_Inquiry,299,1,Info_Provided,63,1,4.98,Monday,45,November,Meeting Expectations,,,,,,,,
64,45964,"Monday, November 3, 2025",11,E80869490,Team_Alpha,Card,Payment_Inquiry,264,41,Payment_Collected,69,1,4.40,Monday,45,November,Meeting Expectations,,,,,,,,
65,45964,"Monday, November 3, 2025",10,E80869490,Team_Alpha,Card,Payment_Inquiry,124,0,Transferred,76,1,2.07,Monday,45,November,Exceeding Expectations,,,,,,,,
66,45964,"Monday, November 3, 2025",9,E80869490,Team_Alpha,Card,Promise_to_Pay,269,32,Payment_Collected,89,1,4.48,Monday,45,November,Meeting Expectations,,,,,,,,
67,45964,"Monday, November 3, 2025",13,E80869490,Team_Alpha,Card,General_Inquiry,116,12,Resolved,70,0,1.93,Monday,45,November,Exceeding Expectations,,,,,,,,
68,45964,"Monday, November 3, 2025",13,E80869490,Team_Alpha,Card,Promise_to_Pay,161,17,No_Contact,76,1,2.68,Monday,45,November,Exceeding Expectations,,,,,,,,
69,45964,"Monday, November 3, 2025",15,E80869490,Team_Alpha,Card,Dispute,438,32,Callback_Scheduled,85,1,7.30,Monday,45,November,Not Meeting Expectations,,,,,,,,
70,45964,"Monday, November 3, 2025",13,E80869490,Team_Alpha,Card,Hardship,381,91,Callback_Scheduled,74,1,6.35,Monday,45,November,Not Meeting Expectations,,,,,,,,
71,45964,"Monday, November 3, 2025",14,E80869490,Team_Alpha,Card,Hardship,497,30,Resolved,88,1,8.28,Monday,45,November,Not Meeting Expectations,,,,,,,,
72,45964,"Monday, November 3, 2025",9,E80869490,Team_Alpha,Card,Promise_to_Pay,276,29,No_Contact,77,0,4.60,Monday,45,November,Meeting Expectations,,,,,,,,
73,45964,"Monday, November 3, 2025",10,E80869490,Team_Alpha,Card,Hardship,530,33,Escalated,94,0,8.83,Monday,45,November,Not Meeting Expectations,,,,,,,,
74,45964,"Monday, November 3, 2025",15,E80869490,Team_Alpha,Card,Payment_Inquiry,32,50,Info_Provided,62,0,0.53,Monday,45,November,Exceeding Expectations,,,,,,,,
75,45964,"Monday, November 3, 2025",9,E80869490,Team_Alpha,Card,Promise_to_Pay,234,2,PTP_Made,73,0,3.90,Monday,45,November,Exceeding Expectations,,,,,,,,
76,45964,"Monday, November 3, 2025",9,E80869490,Team_Alpha,Card,Hardship,543,6,Callback_Scheduled,71,0,9.05,Monday,45,November,Not Meeting Expectations,,,,,,,,
77,45964,"Monday, November 3, 2025",10,E80869490,Team_Alpha,Card,Dispute,401,22,Resolved,98,1,6.68,Monday,45,November,Not Meeting Expectations,,,,,,,,
78,45964,"Monday, November 3, 2025",9,E80869490,Team_Alpha,Card,Payment_Inquiry,205,131,Payment_Collected,77,1,3.42,Monday,45,November,Exceeding Expectations,,,,,,,,
79,45964,"Monday, November 3, 2025",11,E80869490,Team_Alpha,Card,Hardship,352,20,Resolved,71,0,5.87,Monday,45,November,Not Meeting Expectations,,,,,,,,
80,45964,"Monday, November 3, 2025",11,E80869490,Team_Alpha,Card,General_Inquiry,106,84,Resolved,57,0,1.77,Monday,45,November,Exceeding Expectations,,,,,,,,
81,45964,"Monday, November 3, 2025",15,E80869490,Team_Alpha,Card,Payment_Inquiry,146,3,Payment_Collected,72,1,2.43,Monday,45,November,Exceeding Expectations,,,,,,,,
82,45964,"Monday, November 3, 2025",14,E80869490,Team_Alpha,Card,Promise_to_Pay,272,27,PTP_Made,79,0,4.53,Monday,45,November,Meeting Expectations,,,,,,,,
83,45964,"Monday, November 3, 2025",15,E80869490,Team_Alpha,Card,Payment_Inquiry,120,82,Payment_Collected,72,1,2.00,Monday,45,November,Exceeding Expectations,,,,,,,,
84,45964,"Monday, November 3, 2025",10,E80869490,Team_Alpha,Card,Payment_Inquiry,215,22,Payment_Collected,83,0,3.58,Monday,45,November,Exceeding Expectations,,,,,,,,
85,45964,"Monday, November 3, 2025",14,E80869490,Team_Alpha,Card,General_Inquiry,118,30,Resolved,62,1,1.97,Monday,45,November,Exceeding Expectations,,,,,,,,
86,45964,"Monday, November 3, 2025",16,E82809135,Team_Alpha,Card,Payment_Inquiry,255,5,Info_Provided,90,1,4.25,Monday,45,November,Meeting Expectations,,,,,,,,
87,45964,"Monday, November 3, 2025",14,E82809135,Team_Alpha,Card,Dispute,366,0,Resolved,87,0,6.10,Monday,45,November,Not Meeting Expectations,,,,,,,,
88,45964,"Monday, November 3, 2025",12,E82809135,Team_Alpha,Card,Promise_to_Pay,200,8,PTP_Made,75,1,3.33,Monday,45,November,Exceeding Expectations,,,,,,,,
89,45964,"Monday, November 3, 2025",16,E82809135,Team_Alpha,Card,Payment_Inquiry,218,77,Info_Provided,90,0,3.63,Monday,45,November,Exceeding Expectations,,,,,,,,
90,45964,"Monday, November 3, 2025",16,E82809135,Team_Alpha,Card,Payment_Inquiry,85,32,Info_Provided,70,0,1.42,Monday,45,November,Exceeding Expectations,,,,,,,,
91,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Promise_to_Pay,290,1,Payment_Collected,63,0,4.83,Monday,45,November,Meeting Expectations,,,,,,,,
92,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Promise_to_Pay,328,5,Payment_Collected,64,1,5.47,Monday,45,November,Meeting Expectations,,,,,,,,
93,45964,"Monday, November 3, 2025",14,E82809135,Team_Alpha,Card,General_Inquiry,87,5,Callback_Scheduled,58,1,1.45,Monday,45,November,Exceeding Expectations,,,,,,,,
94,45964,"Monday, November 3, 2025",15,E82809135,Team_Alpha,Card,Promise_to_Pay,406,56,PTP_Made,72,0,6.77,Monday,45,November,Not Meeting Expectations,,,,,,,,
95,45964,"Monday, November 3, 2025",15,E82809135,Team_Alpha,Card,Payment_Inquiry,125,5,Info_Provided,70,1,2.08,Monday,45,November,Exceeding Expectations,,,,,,,,
96,45964,"Monday, November 3, 2025",15,E82809135,Team_Alpha,Card,Payment_Inquiry,191,4,Payment_Collected,71,1,3.18,Monday,45,November,Exceeding Expectations,,,,,,,,
97,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Payment_Inquiry,52,17,Payment_Collected,63,1,0.87,Monday,45,November,Exceeding Expectations,,,,,,,,
98,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Promise_to_Pay,225,38,Payment_Collected,76,1,3.75,Monday,45,November,Exceeding Expectations,,,,,,,,
99,45964,"Monday, November 3, 2025",16,E82809135,Team_Alpha,Card,Payment_Inquiry,204,5,Payment_Collected,76,1,3.40,Monday,45,November,Exceeding Expectations,,,,,,,,
100,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Payment_Inquiry,153,33,Payment_Collected,72,1,2.55,Monday,45,November,Exceeding Expectations,,,,,,,,
101,45964,"Monday, November 3, 2025",9,E82809135,Team_Alpha,Card,Promise_to_Pay,128,6,Payment_Collected,57,0,2.13,Monday,45,November,Exceeding Expectations,,,,,,,,
102,45964,"Monday, November 3, 2025",14,E82809135,Team_Alpha,Card,Payment_Inquiry,200,80,Payment_Collected,81,1,3.33,Monday,45,November,Exceeding Expectations,,,,,,,,
103,45964,"Monday, November 3, 2025",16,E82809135,Team_Alpha,Card,Hardship,486,38,Resolved,60,0,8.10,Monday,45,November,Not Meeting Expectations,,,,,,,,
104,45964,"Monday, November 3, 2025",14,E82809135,Team_Alpha,Card,Dispute,494,6,Resolved,73,0,8.23,Monday,45,November,Not Meeting Expectations,,,,,,,,
105,45964,"Monday, November 3, 2025",14,E82809135,Team_Alpha,Card,Payment_Inquiry,230,30,Transferred,83,1,3.83,Monday,45,November,Exceeding Expectations,,,,,,,,
106,45964,"Monday, November 3, 2025",11,E82809135,Team_Alpha,Card,Payment_Inquiry,158,28,Payment_Collected,66,1,2.63,Monday,45,November,Exceeding Expectations,,,,,,,,
107,45964,"Monday, November 3, 2025",11,E82809135,Team_Alpha,Card,Promise_to_Pay,195,24,PTP_Made,75,1,3.25,Monday,45,November,Exceeding Expectations,,,,,,,,
108,45964,"Monday, November 3, 2025",14,E82809135,Team_Alpha,Card,Promise_to_Pay,310,30,Payment_Collected,78,0,5.17,Monday,45,November,Meeting Expectations,,,,,,,,
109,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Promise_to_Pay,257,7,PTP_Made,64,1,4.28,Monday,45,November,Meeting Expectations,,,,,,,,
110,45964,"Monday, November 3, 2025",15,E82809135,Team_Alpha,Card,Promise_to_Pay,279,8,No_Contact,90,0,4.65,Monday,45,November,Meeting Expectations,,,,,,,,
111,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Dispute,486,29,Escalated,68,0,8.10,Monday,45,November,Not Meeting Expectations,,,,,,,,
112,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Hardship,411,30,Escalated,65,0,6.85,Monday,45,November,Not Meeting Expectations,,,,,,,,
113,45964,"Monday, November 3, 2025",8,E82809135,Team_Alpha,Card,Dispute,442,4,Resolved,75,0,7.37,Monday,45,November,Not Meeting Expectations,,,,,,,,
114,45964,"Monday, November 3, 2025",11,E82809135,Team_Alpha,Card,General_Inquiry,182,125,Resolved,62,1,3.03,Monday,45,November,Exceeding Expectations,,,,,,,,
115,45964,"Monday, November 3, 2025",15,E82809135,Team_Alpha,Card,Hardship,476,18,Resolved,85,1,7.93,Monday,45,November,Not Meeting Expectations,,,,,,,,
116,45964,"Monday, November 3, 2025",9,E82809135,Team_Alpha,Card,General_Inquiry,9,55,Escalated,62,0,0.15,Monday,45,November,Exceeding Expectations,,,,,,,,
117,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Dispute,368,20,Resolved,80,0,6.13,Monday,45,November,Not Meeting Expectations,,,,,,,,
118,45964,"Monday, November 3, 2025",13,E82809135,Team_Alpha,Card,Hardship,385,71,Resolved,77,1,6.42,Monday,45,November,Not Meeting Expectations,,,,,,,,
119,45964,"Monday, November 3, 2025",16,E82809135,Team_Alpha,Card,Dispute,492,3,Escalated,68,0,8.20,Monday,45,November,Not Meeting Expectations,,,,,,,,
120,45964,"Monday, November 3, 2025",9,E82809135,Team_Alpha,Card,Payment_Inquiry,227,21,Payment_Collected,61,1,3.78,Monday,45,November,Exceeding Expectations,,,,,,,,
121,45964,"Monday, November 3, 2025",12,E82809135,Team_Alpha,Card,Payment_Inquiry,59,19,Info_Provided,86,1,0.98,Monday,45,November,Exceeding Expectations,,,,,,,,
122,45964,"Monday, November 3, 2025",11,E82809135,Team_Alpha,Card,Payment_Inquiry,234,180,Payment_Collected,71,0,3.90,Monday,45,November,Exceeding Expectations,,,,,,,,
123,45964,"Monday, November 3, 2025",10,E82809135,Team_Alpha,Card,Promise_to_Pay,79,37,Refused,71,0,1.32,Monday,45,November,Exceeding Expectations,,,,,,,,
124,45964,"Monday, November 3, 2025",9,E82809135,Team_Alpha,Card,Payment_Inquiry,147,11,Payment_Collected,58,1,2.45,Monday,45,November,Exceeding Expectations,,,,,,,,
125,45964,"Monday, November 3, 2025",9,E68986707,Team_Alpha,Card,General_Inquiry,223,6,Resolved,62,1,3.72,Monday,45,November,Exceeding Expectations,,,,,,,,
126,45964,"Monday, November 3, 2025",11,E68986707,Team_Alpha,Card,Promise_to_Pay,122,19,No_Contact,65,0,2.03,Monday,45,November,Exceeding Expectations,,,,,,,,
127,45964,"Monday, November 3, 2025",11,E68986707,Team_Alpha,Card,Promise_to_Pay,241,15,Payment_Collected,75,0,4.02,Monday,45,November,Exceeding Expectations,,,,,,,,
128,45964,"Monday, November 3, 2025",13,E68986707,Team_Alpha,Card,Payment_Inquiry,153,61,Info_Provided,76,0,2.55,Monday,45,November,Exceeding Expectations,,,,,,,,
129,45964,"Monday, November 3, 2025",9,E68986707,Team_Alpha,Card,Payment_Inquiry,141,2,Payment_Collected,86,1,2.35,Monday,45,November,Exceeding Expectations,,,,,,,,
130,45964,"Monday, November 3, 2025",9,E68986707,Team_Alpha,Card,Dispute,380,47,Resolved,74,0,6.33,Monday,45,November,Not Meeting Expectations,,,,,,,,
131,45964,"Monday, November 3, 2025",15,E68986707,Team_Alpha,Card,Payment_Inquiry,189,62,Payment_Collected,66,1,3.15,Monday,45,November,Exceeding Expectations,,,,,,,,
132,45964,"Monday, November 3, 2025",14,E68986707,Team_Alpha,Card,Dispute,464,34,Callback_Scheduled,88,1,7.73,Monday,45,November,Not Meeting Expectations,,,,,,,,
133,45964,"Monday, November 3, 2025",12,E68986707,Team_Alpha,Card,Promise_to_Pay,328,0,PTP_Made,81,1,5.47,Monday,45,November,Meeting Expectations,,,,,,,,
134,45964,"Monday, November 3, 2025",13,E68986707,Team_Alpha,Card,Dispute,499,10,Resolved,72,0,8.32,Monday,45,November,Not Meeting Expectations,,,,,,,,
135,45964,"Monday, November 3, 2025",16,E68986707,Team_Alpha,Card,Promise_to_Pay,254,20,Refused,77,1,4.23,Monday,45,November,Meeting Expectations,,,,,,,,
136,45964,"Monday, November 3, 2025",8,E68986707,Team_Alpha,Card,Promise_to_Pay,355,80,PTP_Made,53,1,5.92,Monday,45,November,Not Meeting Expectations,,,,,,,,
137,45964,"Monday, November 3, 2025",16,E68986707,Team_Alpha,Card,Dispute,460,61,Resolved,76,0,7.67,Monday,45,November,Not Meeting Expectations,,,,,,,,
138,45964,"Monday, November 3, 2025",12,E68986707,Team_Alpha,Card,General_Inquiry,176,39,Resolved,70,1,2.93,Monday,45,November,Exceeding Expectations,,,,,,,,
139,45964,"Monday, November 3, 2025",11,E68986707,Team_Alpha,Card,Payment_Inquiry,258,7,Transferred,71,1,4.30,Monday,45,November,Meeting Expectations,,,,,,,,
140,45964,"Monday, November 3, 2025",15,E68986707,Team_Alpha,Card,Promise_to_Pay,186,30,Refused,83,0,3.10,Monday,45,November,Exceeding Expectations,,,,,,,,
141,45964,"Monday, November 3, 2025",12,E68986707,Team_Alpha,Card,Dispute,458,1,Callback_Scheduled,87,0,7.63,Monday,45,November,Not Meeting Expectations,,,,,,,,
142,45964,"Monday, November 3, 2025",9,E68986707,Team_Alpha,Card,Payment_Inquiry,308,32,Info_Provided,69,0,5.13,Monday,45,November,Meeting Expectations,,,,,,,,
143,45964,"Monday, November 3, 2025",14,E68986707,Team_Alpha,Card,Dispute,460,11,Resolved,86,1,7.67,Monday,45,November,Not Meeting Expectations,,,,,,,,
144,45964,"Monday, November 3, 2025",15,E68986707,Team_Alpha,Card,Payment_Inquiry,148,5,Info_Provided,84,1,2.47,Monday,45,November,Exceeding Expectations,,,,,,,,
145,45964,"Monday, November 3, 2025",15,E68986707,Team_Alpha,Card,Dispute,576,11,Escalated,72,1,9.60,Monday,45,November,Not Meeting Expectations,,,,,,,,
146,45964,"Monday, November 3, 2025",11,E68986707,Team_Alpha,Card,Payment_Inquiry,137,1,Payment_Collected,87,1,2.28,Monday,45,November,Exceeding Expectations,,,,,,,,
147,45964,"Monday, November 3, 2025",14,E68986707,Team_Alpha,Card,General_Inquiry,230,7,Resolved,91,1,3.83,Monday,45,November,Exceeding Expectations,,,,,,,,
148,45964,"Monday, November 3, 2025",14,E68986707,Team_Alpha,Card,Promise_to_Pay,320,62,PTP_Made,74,0,5.33,Monday,45,November,Meeting Expectations,,,,,,,,
149,45964,"Monday, November 3, 2025",9,E68986707,Team_Alpha,Card,Hardship,493,5,Resolved,80,1,8.22,Monday,45,November,Not Meeting Expectations,,,,,,,,
150,45964,"Monday, November 3, 2025",15,E68986707,Team_Alpha,Card,Dispute,509,15,Resolved,74,1,8.48,Monday,45,November,Not Meeting Expectations,,,,,,,,
151,45964,"Monday, November 3, 2025",13,E68986707,Team_Alpha,Card,Promise_to_Pay,282,45,PTP_Made,74,1,4.70,Monday,45,November,Meeting Expectations,,,,,,,,
152,45964,"Monday, November 3, 2025",12,E68986707,Team_Alpha,Card,Payment_Inquiry,288,129,Info_Provided,51,1,4.80,Monday,45,November,Meeting Expectations,,,,,,,,
153,45964,"Monday, November 3, 2025",16,E68986707,Team_Alpha,Card,Payment_Inquiry,243,5,Payment_Collected,63,1,4.05,Monday,45,November,Exceeding Expectations,,,,,,,,
154,45964,"Monday, November 3, 2025",15,E68986707,Team_Alpha,Card,Payment_Inquiry,118,49,Payment_Collected,76,0,1.97,Monday,45,November,Exceeding Expectations,,,,,,,,
